Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001636,Inactive,SES Americom Inc.,E120055,"N39 22' 37""","W77 04' 46""",39.38,-77.08,"3,700.00","4,200.00",219.9,36.1,48.8,192,8.5,200.5,-105,TRUE,2/4/2020,11/16/2022 11:42,11/16/2022 11:42
FSS0001638,Inactive,SES Americom Inc,E120055,"N39 22' 37""","W77 04' 46""",39.38,-77.08,"3,700.00","4,200.00",108.6,12.8,54.1,192,15,207,-15,TRUE,2/4/2020,11/16/2022 11:42,11/16/2022 11:42
FSS0001642,Inactive,SES Americom Inc.,E7169,"N39 22' 33.4""","W77 04' 50.9""",39.38,-77.08,"3,700.00","4,200.00",255.6,8.3,53,187.8,17.1,204.9,-145,TRUE,2/4/2020,11/16/2022 11:41,11/16/2022 11:41
FSS0001645,Inactive,"SES Americom, Inc",E000275,"N39 22' 22""","W77 04' 50.9""",39.37,-77.08,"3,700.00","4,200.00",256.3,7.5,43.8,188.4,4,192.4,146,FALSE,2/4/2020,11/16/2022 11:41,11/16/2022 11:41
FSS0001647,Inactive,Mark Rathert,E170221,"N39 22' 36.7""","W77 04' 50.8""",39.38,-77.08,"3,700.00","4,200.00",127.5,29,51.8,183.3,13.3,196.6,37.5,TRUE,2/4/2020,11/16/2022 11:40,11/16/2022 11:40
FSS0001649,Inactive,SES Americom Inc,E930289,"N34 19' 32""","W118 59' 38""",34.33,-118.99,"3,700.00","4,200.00",108.7,16.9,50.1,307.8,10,317.8,-60,FALSE,2/4/2020,11/16/2022 11:39,11/16/2022 11:39
FSS0001651,Active,SES Americom Inc,E930289,"N34 19' 31""","W118 59' 41""",34.33,-118.99,"3,625.00","4,200.00",115.3,24.1,53.5,307,14.9,321.9,-69,TRUE,10/27/2023,10/27/2023 9:51,10/27/2023 9:51
FSS0001653,Inactive,SES Americom Inc,E000289,"N34 19' 31""","W118 59' 44.4""",34.33,-119,"3,700.00","4,200.00",113.8,22.5,50.1,308.9,11,319.9,67,TRUE,2/4/2020,11/16/2022 11:27,11/16/2022 11:27
FSS0001655,Active,SES Americom Inc,KA318,"N34 19' 31""","W118 59' 41""",34.33,-118.99,"3,625.00","4,200.00",153.3,46.5,50,317,10,327,-103,TRUE,10/27/2023,10/27/2023 9:50,10/27/2023 9:50
FSS0001657,Inactive,SES Americom Inc,E170201,"N34 19' 31.1""","W118 59' 46.2""",34.33,-119,"3,700.00","4,200.00",260.2,5.5,47.5,314,7.9,321.9,168,TRUE,2/4/2020,11/16/2022 11:26,11/16/2022 11:26
FSS0001659,Inactive,SES Americom Inc,E160139,"N34 19' 32""","W118 59' 44""",34.33,-119,"3,700.00","4,200.00",210,45.7,55.7,312,15,327,137,FALSE,2/5/2020,11/16/2022 11:50,11/16/2022 11:50
